-23,35,397,83
-23,35,410,59
-23,35,388,62
-16,35,346,94
-2,35,286,101
-3,35,303,111
15,35,262,168
24,35,223,173
32,26,191,233
32,24,189,239
29,35,233,207
15,35,252,157
-7,35,343,134
-20,35,373,95
-18,35,332,67
0,35,297,119
16,35,248,157
22,35,254,195
32,28,181,216
32,24,162,212
32,30,152,177
26,35,188,151
9,35,201,76
-1,35,232,52
-2,35,236,49
1,35,211,48
7,35,183,50
7,35,185,50
11,35,167,52
11,35,168,53
9,35,181,57
12,35,168,59
22,35,147,90
15,35,168,74
23,35,159,106
30,35,126,104
32,35,61,58
32,35,69,58
32,35,61,52
32,35,55,51
32,35,59,47
31,35,62,45
16,35,129,44
4,35,193,43
3,35,195,42
-8,35,256,42
10,35,161,42
24,35,89,43
28,35,71,44
32,35,53,46
32,35,52,47
32,35,52,45
32,35,58,46
31,35,62,45
24,35,95,46
22,35,105,47
28,35,74,46
